County;2015 NCHS Bridged Pop: total pop;2015 NCHS Bridged Pop: Percent <18;2015 NCHS Bridged Pop: Percent +65;2015 NCHS Bridged Pop: Percent White;2015 NCHS Bridged Pop: Percent African American;2015 NCHS Bridged Pop: Percent Other;2015 NCHS Bridged Pop: Percent Hispanic;Percent Low Birth Weight: 2001-2005;Percent Low Birth Weight: 2006-2010;Percent Low Birth Weight: 2011-2015;Percent Very Low Birth Weight: 2001-2005;Percent Very Low Birth Weight: 2006-2010;Percent Very Low Birth Weight: 2011-2015;Preterm Births : 2001-2005;Preterm Births : 2006-2010;Preterm Births : 2011-2015;C-Section Deliveries : 2001-2005;C-Section Deliveries : 2006-2010;C-Section Deliveries : 2011-2015;Teen Birth Rate: 2001-2005;Teen Birth Rate: 2006-2010;Teen Birth Rate: 2011-2015;Repeat Teen Birth Rate: 2001-2005;Repeat Teen Birth Rate: 2006-2010;Repeat Teen Birth Rate: 2011-2015;Infant Death Rts: 2001-2005;Infant Death Rts: 2006-2010;Infant Death Rts: 2011-2015;Youth death rates: 2001-2005;Youth death rates: 2006-2010;Youth death rates: 2011-2015;Age-adjusted CVD Dth Rates: 2001-2005;Age-adjusted CVD Dth Rates: 2006-2010;Age-adjusted CVD Dth Rates: 2011-2015;Age-adjusted Heart Dz Dth Rates: 2001-2005;Age-adjusted Heart Dz Dth Rates: 2006-2010;Age-adjusted Heart Dz Dth Rates: 2011-2015;Age-adjusted Stroke Dth Rts: 2001-2005;Age-adjusted Stroke Dth Rts: 2006-2010;Age-adjusted Stroke Dth Rts: 2011-2015;Age-adjusted Cancer Dth Rates: 2001-2005;Age-adjusted Cancer Dth Rates: 2006-2010;Age-adjusted Cancer Dth Rates: 2011-2015;Age Adj Colon/Rectum Cancer Dth Rts: 2001-2005;Age Adj Colon/Rectum Cancer Dth Rts: 2006-2010;Age Adj Colon/Rectum Cancer Dth Rts: 2011-2015;Age-adjusted Lung Cancer Dth Rts: 2001-2005;Age-adjusted Lung Cancer Dth Rts: 2006-2010;Age-adjusted Lung Cancer Dth Rts: 2011-2015;Prostate Cancer Incidence Rates: 1999-2003;Prostate Cancer Incidence Rates: 2004-2008;Prostate Cancer Incidence Rates: 2009-2013;Breast Cancer Incidence Rates: 1999-2003;Breast Cancer Incidence Rates: 2004-2008;Breast Cancer Incidence Rates: 2009-2013;Age-adjusted Diabetes Dth Rates: 2001-2005;Age-adjusted Diabetes Dth Rates: 2006-2010;Age-adjusted Diabetes Dth Rates: 2011-2015;Age-adjusted Unint. MVA Dth Rts: 2001-2005;Age-adjusted Unint. MVA Dth Rts: 2006-2010;Age-adjusted Unint. MVA Dth Rts: 2011-2015;Age-adjusted Other Unint. Inj Dth Rts: 2001-2005;Age-adjusted Other Unint. Inj Dth Rts: 2006-2010;Age-adjusted Other Unint. Inj Dth Rts: 2011-2015;Age-adjusted Suicide Dth Rts: 2001-2005;Age-adjusted Suicide Dth Rts: 2006-2010;Age-adjusted Suicide Dth Rts: 2011-2015;Age-adjusted Homicide Dth Rts: 2001-2005;Age-adjusted Homicide Dth Rts: 2006-2010;Age-adjusted Homicide Dth Rts: 2011-2015;PCP's per 10,000 pop: 2004;PCP's per 10,000 pop: 2009;PCP's per 10,000 pop: 2014;Dentists per 10,000 pop: 2004;Dentists per 10,000 pop: 2009;Dentists per 10,000 pop: 2014;RNs per 10,000 pop: 2004;RNs per 10,000 pop: 2009;RNs per 10,000 pop: 2014; Phys Assts per 10,000 pop: 2004; Phys Assts per 10,000 pop: 2009; Phys Assts per 10,000 pop: 2014
North Carolina;10042802.0;0.228080569546;0.151035935987;0.646523948197;0.220567925167;0.0416246382235;0.0912834884129;9.0;9.1;9.0;1.9;1.8;1.7;11.3;8.6;10.0;27.7;31.2;30.0;49.0;45.0;28.8;28.7;27.1;23.3;8.5;7.9;7.2;75.2;67.8;57.8;314.9;251.9;221.9;227.6;186.0;163.7;65.3;48.3;43.1;195.7;182.4;169.1;18.3;15.8;14.0;59.0;55.5;48.9;163.4;163.5;130.6;152.6;154.7;157.9;27.5;22.5;22.8;19.4;16.7;13.6;26.1;28.7;30.5;11.6;12.0;12.7;7.2;6.6;5.8;8.64379640303;9.16376146936;8.58475859247;4.23722380086;4.36232562155;4.70277998494;90.6950425182;96.9133322178;105.484530506;2.91747107347;3.67808104568;4.81228714546
Carteret;68879.0;0.182595566138;0.225642067974;0.871223449818;0.0638946558458;0.0202529072722;0.0446289870643;7.8;7.2;7.6;1.5;1.1;1.3;10.3;8.1;10.9;30.4;35.6;35.7;41.6;38.4;24.8;22.1;19.1;19.7;7.5;6.4;7.1;68.2;49.5;47.4;332.7;256.2;221.4;249.9;196.2;175.0;64.7;46.8;34.2;212.2;199.8;172.2;17.0;14.2;14.5;66.1;65.8;49.8;199.3;160.5;105.2;155.4;168.1;149.4;20.2;16.4;16.4;20.3;17.2;10.0;37.2;37.3;39.1;20.6;15.4;17.7;2.8;3.6;2.6;7.19871731946;7.57060750263;6.77721701514;6.21707404862;5.87108336938;7.20980533526;71.0055299238;79.5686298745;90.5551550108;2.7813226007;3.86255484828;4.61427541456
Cleveland;96879.0;0.220656695465;0.175383726091;0.740614581075;0.213782140608;0.0132639684555;0.0323393098608;9.7;9.8;9.9;2.1;2.0;2.1;12.0;10.0;10.9;29.9;32.8;29.5;60.7;55.7;38.5;30.7;31.4;21.0;9.6;8.4;9.1;75.7;57.8;69.6;366.6;314.7;279.2;278.4;234.2;210.0;63.1;56.8;55.3;199.7;193.8;201.7;22.1;21.1;20.4;61.0;65.7;58.1;169.1;163.9;151.6;135.9;130.5;152.3;32.4;25.2;31.8;21.2;20.6;15.6;32.3;43.8;42.4;13.1;15.6;16.1;15.3;8.0;4.1;7.61444511;8.11046452686;7.96568627451;3.3503558484;3.14280500416;4.08496732026;81.4237997096;95.7034814169;111.315359477;1.522889022;2.02761613171;2.55310457516
Chatham;70928.0;0.198990525603;0.249774419129;0.724608053237;0.12841191067;0.022952853598;0.124027182495;8.8;7.4;8.6;1.5;1.3;2.1;11.4;8.7;9.4;26.0;28.5;27.7;49.5;43.4;23.3;30.0;27.4;21.5;7.7;5.9;9.6;85.3;58.9;49.1;253.8;205.1;155.1;182.2;148.3;112.4;56.6;44.2;35.3;171.3;148.4;134.3;16.3;12.7;10.3;48.2;41.9;36.1;168.6;178.9;106.2;181.2;163.9;171.7;22.2;23.3;19.2;30.8;21.8;15.0;21.0;23.4;19.5;9.0;11.2;12.6;6.3;6.3;4.0;5.85597950407;5.60071689176;3.49217897417;1.82999359502;2.40030723933;1.89159694434;41.3578552475;43.0455098253;40.5965805748;0.731997438009;0.320040965244;1.0185522008
Bladen;34318.0;0.215280610758;0.193979835655;0.550440002331;0.343988577423;0.0267789498223;0.0787924704237;10.2;9.8;10.3;2.3;2.0;2.3;11.5;8.1;10.6;29.0;38.0;37.8;65.1;55.5;37.4;27.1;22.9;20.0;12.3;9.2;9.5;97.9;87.1;78.7;432.9;341.1;308.7;303.1;255.1;247.1;96.4;64.3;43.2;218.3;188.2;155.8;20.2;17.7;15.3;66.1;59.6;53.3;146.8;137.3;103.9;138.3;131.3;97.8;48.3;39.5;38.6;37.2;38.1;31.3;28.6;33.4;39.2;13.1;10.5;12.1;10.3;13.3;8.3;5.73688819107;4.36871996505;5.41110130151;1.5097074187;2.18435998253;1.70876883206;47.706754431;53.0487424328;54.1110130151;2.11359038618;3.12051426075;1.9935636374
Bertie;20199.0;0.18139511857;0.201297093916;0.352492697658;0.618099905936;0.0118322689242;0.0175751274816;13.4;13.0;12.9;4.5;3.2;2.6;15.4;10.5;13.7;23.4;28.6;33.8;59.0;64.1;40.0;26.4;25.6;23.5;14.6;17.1;12.2;109.9;131.0;71.6;380.7;276.4;254.2;254.6;182.4;179.1;80.1;53.5;43.9;226.2;207.6;166.5;29.0;25.5;14.1;67.1;51.9;46.4;248.1;177.0;145.6;153.3;153.1;158.4;60.1;49.5;57.7;45.2;44.6;24.6;27.7;23.5;29.7;7.5;8.6;10.2;5.6;6.8;3.5;5.06380392951;4.47672105054;2.91021972159;1.0127607859;0.49741345006;0.485036620265;51.1444196881;56.7051333068;61.5996507736;3.03828235771;4.47672105054;2.42518310132
Cumberland;323838.0;0.255893378788;0.113096671793;0.458587318351;0.379983201477;0.0488762899969;0.112553190175;9.6;10.1;9.9;2.4;2.1;2.1;12.5;9.5;10.9;25.4;27.6;26.5;57.8;55.1;37.6;27.2;25.2;24.4;11.3;9.7;8.8;94.7;89.3;87.4;371.0;285.5;253.7;280.8;214.7;193.5;60.9;49.4;41.5;201.6;197.0;181.3;19.0;16.5;15.3;62.0;60.3;53.0;163.6;152.4;140.5;140.4;160.6;150.8;41.8;35.2;29.2;20.4;18.2;16.5;22.4;22.9;32.4;11.9;13.0;14.1;9.9;9.6;10.6;6.83731052946;7.31811373283;7.68056150065;3.59520553662;3.73690914017;4.76619824349;70.0102078157;82.7725374547;90.9827779346;4.4298068219;5.88563189577;7.61984559946
Rutherford;66390.0;0.210935381835;0.199533062208;0.84652809158;0.103449314656;0.00956469347793;0.0404579002862;9.3;8.6;8.4;1.4;1.8;1.4;10.2;7.6;8.9;27.4;30.3;32.1;66.1;53.9;42.7;30.2;27.3;21.1;10.6;6.5;7.4;78.9;61.3;59.7;372.8;326.8;282.2;248.1;223.5;195.9;73.5;57.2;58.8;192.3;205.1;172.0;23.1;21.5;21.6;52.0;65.9;47.8;138.4;148.2;106.2;139.4;161.2;145.4;18.5;20.8;27.3;24.1;18.2;17.0;36.4;39.7;39.7;19.0;14.1;19.7;9.3;3.6;5.6;7.04655423498;6.57946267721;5.62080288732;2.81862169399;2.50646197227;2.81040144366;66.8639701852;69.5543197306;83.1287163861;1.25272075289;1.56653873267;2.51456971275
Transylvania;33211.0;0.163710818705;0.288970521815;0.910421245973;0.0457378579386;0.00990635632772;0.0339345397609;7.3;8.2;8.7;1.0;1.2;1.5;9.3;7.6;9.9;22.0;29.8;32.0;37.5;40.1;25.6;25.7;24.2;14.0;9.6;6.7;6.6;55.2;68.3;61.4;246.7;201.5;171.8;178.5;151.2;128.1;54.5;39.0;31.4;170.3;133.2;142.1;11.3;11.4;11.2;46.0;36.2;39.0;178.8;155.0;109.3;139.3;153.9;132.2;22.3;11.4;14.8;20.0;17.4;11.2;35.9;42.6;43.3;13.7;17.4;20.4;2.6;6.2;3.0;9.06070673513;11.8990191349;9.87196362331;3.35581730931;3.5375462293;3.2906545411;71.4789086882;77.182826821;81.0697618763;1.67790865465;1.28638044702;3.2906545411
Forsyth;369019.0;0.23622631897;0.147469371496;0.581747823283;0.263398361602;0.0281719911441;0.126681823971;9.9;10.4;10.4;2.1;2.2;2.2;12.9;9.6;11.9;22.3;26.5;26.7;48.9;45.0;28.3;30.0;29.1;23.4;8.9;10.5;8.4;78.6;85.6;64.7;279.5;215.3;203.3;194.1;149.8;145.2;65.5;49.4;42.8;199.6;187.2;174.9;18.9;15.5;12.7;58.8;55.8;52.2;175.8;170.2;155.0;164.1;161.7;171.4;29.0;20.2;22.8;12.4;11.5;11.6;23.4;26.6;31.8;10.4;11.3;11.1;7.1;6.3;4.8;13.173756882;14.0591609493;14.2759877885;5.93440463319;5.23000787313;5.43585688871;160.943539266;173.490046114;188.278315873;7.30149261151;7.50759194691;10.9266214228
